fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,pec_bov,pec_bub,pec_sui,pec_cap,pec_ovi,pec_gal,pec_total,pec_risco_iminente,pec_risco_pos_deficit,pec_risco_total,cs_ish_urb,area_total_scbc,area_otto,area_scbc_otto,deman_pecuaria,densidade,deman_pecuaria_scbc,deman_pecuaria_otto,perc_deman_pecuaria,cs_ish,ire_cs_pec_eco,
13,77618781,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 2.172.127,38","R$ 0,00","R$ 2.172.127,38",3,"0,3247574084","12,35846499","0,104","0,000251223","2,032801001E-05","2,114113041E-06","0,0002512135477","0,008415284591","0,025",3,Médio
14,7761882,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,043","0,002","0,002","3,613","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","10,30969875","10,156","0,000253114","2,455105684E-05","0,0002493405333","0,000253121396","0,9850918292","4,925",5,Máximo
15,776188421,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,08",0,"0,001","1,765","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","1,759884034","0,059","3,57995E-05","2,034196533E-05","1,200175954E-06","3,580185898E-05","0,03352493622","0,168",5,Máximo
16,77618783,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,07","0,018","0,018","26,064","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 2.497.946,49","R$ 0,00","R$ 2.497.946,49",3,"26,09649438","16,87727887","8,382","0,000362917","2,15032887E-05","0,0001802405659","0,0003629325067","0,4966440422","1,49",3,Médio
17,7761879,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,804","0,003","0,299","16,575","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 977.457,32","R$ 0,00","R$ 977.457,32",3,"26,09649438","5,412990806","0,002","9,96507E-05","1,84095454E-05","3,68190908E-08","9,961405017E-05","0,0003694815069","0,001",3,Médio
18,7761883,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,652","0,001","0,137","21,039","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.629.095,54","R$ 0,00","R$ 1.629.095,54",3,"26,09649438","3,014079775","0,002","8,29051E-05","2,750594085E-05","5,501188169E-08","8,293041165E-05","0,0006635524436","0,002",3,Médio
19,7761881,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,719",0,"0,139","19,321","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.303.276,43","R$ 0,00","R$ 1.303.276,43",3,"26,09649438","5,879590608","3,79","0,000137184","2,333223674E-05","8,842917724E-05","0,000137193552","0,6446027033","1,934",3,Médio
20,77618781,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 2.172.127,38","R$ 0,00","R$ 2.172.127,38",3,"26,09649438","12,35846499","3,463","0,000251223","2,032801001E-05","7,039589866E-05","0,0002512135477","0,2802127936","0,841",3,Médio
21,77617296,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,021","0,001","0,001","3,852","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","19,73185058","0,001","0,000381349","1,932657043E-05","1,932657043E-08","0,0003813132346","5,067948371E-05",0,5,Máximo
22,776188423,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,05","0,001","0,001","1,619","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","11,99757524","0,182","0,000265341","2,211621888E-05","4,025151836E-06","0,0002653503941","0,01516973191","0,076",5,Máximo
23,77618841,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,224","0,002","0,032","14,187","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 760.244,58","R$ 0,00","R$ 760.244,58",3,"26,09649438","7,111517693","0,06","0,000179685","2,526675848E-05","1,516005509E-06","0,0001797224531","0,008437017609","0,025",3,Médio
24,7761876,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.520.489,17","R$ 0,00","R$ 1.520.489,17",3,"43,25395984","17,03928558","15,079","0,000450175","2,641982834E-05","0,0003983845915","0,000450167455","0,884954943","2,655",3,Médio
25,77618747,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"43,25395984","15,41486453","0,224","0,000340911","2,211573117E-05","4,953923783E-06","0,0003408918803","0,01453142839","0,073",5,Máximo
26,7761885,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,415","0,014","0,104","25,186","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 2.280.733,75","R$ 0,00","R$ 2.280.733,75",3,"43,25395984","14,70934397","0,066","0,000288725","1,962867961E-05","1,295492854E-06","0,0002887575057","0,004486943818","0,013",3,Médio
27,7761892,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,083","0,005","0,005","6,633","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 108.606,37","R$ 0,00","R$ 108.606,37",3,"43,25395984","19,94445926","19,701","0,000518727","2,600857678E-05","0,0005123949711","0,0005187410639","0,9877931381","2,963",3,Médio
28,7761896,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,078","0,015","0,015","19,754","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.411.882,80","R$ 0,00","R$ 1.411.882,80",3,"43,25395984","18,78872981","0,007","0,000327565","1,743412159E-05","1,220388511E-07","0,0003275697105","0,0003725637694","0,001",3,Médio
29,77618741,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 217.212,74","R$ 0,00","R$ 217.212,74",3,"43,25395984","8,876456731","0,018","0,000233833","2,634305637E-05","4,741750146E-07","0,0002338473114","0,002027836168","0,006",3,Médio
30,77618951,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,635",0,"0,097","15,213","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 868.850,95","R$ 0,00","R$ 868.850,95",3,"43,25395984","4,10414405","0,134","0,000111319","2,712356064E-05","3,634557125E-06","0,0001113150929","0,03264992612","0,098",3,Médio
31,7761875,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,06","0,003","0,354","17,171","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.086.063,69","R$ 0,00","R$ 1.086.063,69",3,"43,25395984","7,532201575","0,04","0,000188374","2,500915544E-05","1,000366218E-06","0,0001883689588","0,005310532333","0,016",3,Médio
32,7761891,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,063","0,039","0,157","14,801","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 760.244,58","R$ 0,00","R$ 760.244,58",3,"43,25395984","14,185514","5,054","0,000372079","2,622950427E-05","0,0001325639146","0,000372065518","0,3562789477","1,069",3,Médio
33,77618952,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029",0,0,"0,856","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"43,25395984","6,972290287","0,106","0,000117945","1,69162492E-05","1,793122415E-06","0,0001179400894","0,01520303883","0,076",5,Máximo
34,7761893,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,922",0,"0,113","12,216","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 543.031,85","R$ 0,00","R$ 543.031,85",3,"43,25395984","4,960294806","2,753","0,000118186","2,382640642E-05","6,559409687E-05","0,0001182028022","0,5550073348","1,665",3,Médio
35,77618746,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,03",0,0,"1,037","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"43,25395984","7,190958538","0,072","0,00017854","2,48284007E-05","1,78764485E-06","0,0001785410294","0,01001257338","0,05",5,Máximo
36,7761842,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,038","0,003","0,003","7,136","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 217.212,74","R$ 0,00","R$ 217.212,74",3,"28,93147498","9,169406532","0,426","0,000150596","1,642374558E-05","6,996515617E-06","0,000150605747","0,04645884099","0,139",3,Médio
37,7761846,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,121","0,018","0,018","15,009","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 868.850,95","R$ 0,00","R$ 868.850,95",3,"28,93147498","29,28586492","0,48","0,000637328","2,176230758E-05","1,044590764E-05","0,000637352702","0,0163901596","0,049",3,Médio
38,77618723,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,048","0,003","0,003","5,412","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 108.606,37","R$ 0,00","R$ 108.606,37",3,"28,93147498","11,54897345","11,412","0,000182073","1,57652973E-05","0,0001799135728","0,0001820734186","0,9881397727","2,964",3,Médio
39,77618717,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,545","0,006","0,389","15,297","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 868.850,95","R$ 0,00","R$ 868.850,95",3,"28,93147498","8,001401319","0,011","0,000219129","2,738632788E-05","3,012496067E-07","0,0002191180093","0,00137475919","0,004",3,Médio
40,77618721,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,117","0,002","0,005","4,145","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 108.606,37","R$ 0,00","R$ 108.606,37",3,"28,93147498","7,645517396","7,273","0,000212","2,772866623E-05","0,0002016705895","0,0002119856533","0,9512763654","2,854",3,Médio
41,77618722,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,038",0,0,"0,796","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"28,93147498","9,117857331","8,83","0,000168483","1,84783545E-05","0,0001631638702","0,0001684671579","0,9684292789","4,842",5,Máximo
42,7761875,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,06","0,003","0,354","17,171","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.086.063,69","R$ 0,00","R$ 1.086.063,69",3,"28,93147498","7,532201575","0,115","0,000188374","2,500915544E-05","2,876052876E-06","0,0001883689588","0,01526778046","0,046",3,Médio
43,77618712,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,031",0,0,"0,859","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"28,93147498","7,364809749","0,181","0,000129707","1,761172446E-05","3,187722127E-06","0,0001296927389","0,02457633071","0,123",5,Máximo
44,77618781,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 2.172.127,38","R$ 0,00","R$ 2.172.127,38",3,"28,93147498","12,35846499","0,063","0,000251223","2,032801001E-05","1,280664631E-06","0,0002512135477","0,005097720473","0,015",3,Médio
45,77618782,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,026","0,01","0,01","39,673","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 5.647.531,19","R$ 0,00","R$ 5.647.531,19",3,"28,93147498","6,176753509","0,131","0,000137297","2,222801991E-05","2,911870609E-06","0,000137302479","0,02120855233","0,064",3,Médio
46,7761873,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,395","0,002","0,378","15,803","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 868.850,95","R$ 0,00","R$ 868.850,95",3,"28,93147498","1,554857374","0,008","4,24878E-05","2,73258504E-05","2,186068032E-07","4,249169738E-05","0,005145166453","0,015",3,Médio
47,7761876,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.520.489,17","R$ 0,00","R$ 1.520.489,17",3,"30,21045933","17,03928558","0,291","0,000450175","2,641982834E-05","7,688170046E-06","0,000450167455","0,01707818081","0,051",3,Médio
48,77618747,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"30,21045933","15,41486453","14,547","0,000340911","2,211573117E-05","0,0003217175414","0,0003408918803","0,9436995033","4,718",5,Máximo
49,77618745,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,118",0,"0,001","0,987","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"30,21045933","5,903254563","5,468","0,00014901","2,524200819E-05","0,0001380233008","0,0001490288163","0,9262687119","4,631",5,Máximo
50,7761892,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,083","0,005","0,005","6,633","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 108.606,37","R$ 0,00","R$ 108.606,37",3,"30,21045933","19,94445926","0,042","0,000518727","2,600857678E-05","1,092360225E-06","0,0005187410639","0,002105848018","0,006",3,Médio
51,77618741,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 217.212,74","R$ 0,00","R$ 217.212,74",3,"30,21045933","8,876456731","0,305","0,000233833","2,634305637E-05","8,034632192E-06","0,0002338473114","0,03436055729","0,103",3,Médio
52,77618743,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,176","0,001","0,002","1,245","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"30,21045933","3,878138721","1,891","0,000103076","2,657872949E-05","5,026037747E-05","0,0001030988917","0,4876050436","2,438",5,Máximo
53,77618744,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,042",0,0,"0,767","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"30,21045933","10,0836146","0,127","0,000231454","2,295347543E-05","2,91509138E-06","0,0002314628463","0,01259469","0,063",5,Máximo
54,77618694,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,072","0,045","0,045","62,88","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 14.336.040,72","R$ 0,00","R$ 14.336.040,72",2,"30,21045933","17,35419788",0,"0,000164152","9,458921763E-06",0,"0,0001641501283",0,0,2,Baixo
55,776187423,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,046","0,001","0,001","2,052","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"30,21045933","11,1861034","0,399","0,000265697","2,375241766E-05","9,477214648E-06","0,000265694544","0,03566925727","0,178",5,Máximo
56,77618693,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,603","0,002","0,069","11,366","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 434.425,48","R$ 0,00","R$ 434.425,48",3,"30,21045933","8,607971012","0,022","8,34043E-05","9,689193874E-06","2,131622652E-07","8,340458087E-05","0,002555770689","0,008",3,Médio
57,77618746,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,03",0,0,"1,037","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 0,00","R$ 0,00","R$ 0,00",5,"30,21045933","7,190958538","7,117","0,00017854","2,48284007E-05","0,0001767037278","0,0001785410294","0,9897150654","4,949",5,Máximo
58,776187421,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,115","0,007","0,013","11,195","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 434.425,48","R$ 0,00","R$ 434.425,48",3,"30,21045933","8,596874443","0,002","0,000189349","2,20253304E-05","4,40506608E-08","0,0001893297401","0,0002326426905","0,001",3,Médio
59,7761876,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","R$ 107.694.967,49","R$ 22.160,00","R$ 509.031,01","R$ 354.442,08","R$ 25.041,60","R$ 726,88","R$ 108.606.369,07","R$ 1.520.489,17","R$ 0,00","R$ 1.520.489,17",3,"21,14824693","17,03928558","0,737","0,000450175","2,641982834E-05","1,947141348E-05","0,000450167455","0,04325298714","0,13",3,Médio
