fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total,irri_arroz_risco_iminente,irri_arroz_risco_pos_deficit,irri_arroz_risco_total,irri_cafe_risco_iminente,irri_cafe_risco_pos_deficit,irri_cafe_risco_total,irri_cana_risco_iminente,irri_cana_risco_pos_deficit,irri_cana_risco_total,irri_oc_risco_iminente,irri_oc_risco_pos_deficit,irri_oc_risco_total,irri_total_risco_iminente,irri_total_risco_pos_deficit,irri_total_risco_total,cs_ish,area_scbc,area_otto,area_scbc,deman_agri,densidade,deman_agri_scbc,deman_agri_otto,perc_scbc,irri_risco_scbc,cs_ish_scbc,irri_scbc,ire_cs_irri_eco,,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Valor da produção irrigada do município  (1000 R$),Produção irrigada por Municipio por cultura (Arroz) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Arroz) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Arroz) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Café) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Café) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Café) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Cana) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Cana) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Cana) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$)  em risco total., Valor de produção irrigada (1000 R$) em risco iminente, Valor de produção irrigada (1000 R$) em risco pós-déficit., Valor de produção irrigada (1000 R$) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à produção irrigada,Área total do setor censitário (km²),Área total da ottobacia (km²),Área do setor censitário interno à ottobacia (km²),Demanda agrícola por BHO (m³/s) (tabela balanços  2020),Densidade da demanda agricola na BHO (m³/s . km²) (tabela balanços 2020),Demanda agricola estimada da porção do setor cencitário interno à ottobacia (m³/s),Demanda agricola estimada para a ottobacia (m³/s),Percentual da demanda agricola na porção do setor cencitário que está na ottobacia em relação à demanda agricola total da ottobacia, Valor de produção irrigada (mil R$) em risco da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica associado à agricultura irrigada da porção do setor censitário interno a cada ottobacia., Valor de produção irrigada (mil R$) por setor cencitário,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua demanda,,Produção por Ottobacia (R$)
10,7761879,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,3629238066","5,412990806","0,132","0,002484","0,0004588960316","6,057427617E-05","0,002483086427","0,02438577946","R$ 25,25","0,073",,"2,999",Médio,1
11,77618781,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 0,00","R$ 0,00","R$ 27,41","R$ 0,00","R$ 27,41","R$ 2.300,94","R$ 0,00","R$ 2.300,94",3,"0,3629238066","12,35846499","0,23","0,007862","0,0006361631486","0,0001463175242","0,00786170419","0,01861072554","R$ 42,82","0,056",,3,Médio,1
12,7761879,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"0,3247574084","5,412990806","0,22","0,002484","0,0004588960316","0,000100957127","0,002483086427","0,04064296576","R$ 42,08","0,122",,"2,999",Médio,1
13,77618781,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 0,00","R$ 0,00","R$ 27,41","R$ 0,00","R$ 27,41","R$ 2.300,94","R$ 0,00","R$ 2.300,94",3,"0,3247574084","12,35846499","0,104","0,007862","0,0006361631486","6,616096746E-05","0,00786170419","0,008415284591","R$ 19,36","0,025",,3,Médio,1
14,7761882,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,043","0,002","0,002","3,613","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","10,30969875","10,156","0,001287","0,0001248339094","0,001267813184","0,001287037606","0,9850918292","R$ 0,00","4,925",,5,Máximo,1
15,776188421,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,08",0,"0,001","1,765","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","1,759884034","0,059",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
16,77618783,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,07","0,018","0,018","26,064","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.614,56","R$ 0,00","R$ 2.614,56","R$ 0,00","R$ 0,00","R$ 0,00","R$ 31,52","R$ 0,00","R$ 31,52","R$ 2.646,08","R$ 0,00","R$ 2.646,08",3,"26,09649438","16,87727887","8,382","0,019607","0,00116173941","0,009737699736","0,01960783777","0,4966440422","R$ 1.314,16","1,49",,3,Médio,1
17,7761879,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,804","0,003","0,299","16,575","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 1.023,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12,33","R$ 0,00","R$ 12,33","R$ 1.035,42","R$ 0,00","R$ 1.035,42",3,"26,09649438","5,412990806","0,002","0,002484","0,0004588960316","9,177920632E-07","0,002483086427","0,0003694815069","R$ 0,38","0,001",,"2,999",Médio,1
18,7761883,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,652","0,001","0,137","21,039","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.705,15","R$ 0,00","R$ 1.705,15","R$ 0,00","R$ 0,00","R$ 0,00","R$ 20,55","R$ 0,00","R$ 20,55","R$ 1.725,70","R$ 0,00","R$ 1.725,70",3,"26,09649438","3,014079775","0,002","0,00061","0,0002023834953","4,047669906E-07","0,0006101862384","0,0006635524436","R$ 1,15","0,002",,"3,001",Médio,1
19,7761881,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,719",0,"0,139","19,321","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.364,12","R$ 0,00","R$ 1.364,12","R$ 0,00","R$ 0,00","R$ 0,00","R$ 16,44","R$ 0,00","R$ 16,44","R$ 1.380,56","R$ 0,00","R$ 1.380,56",3,"26,09649438","5,879590608","3,79",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
20,77618781,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 2.273,53","R$ 0,00","R$ 0,00","R$ 0,00","R$ 27,41","R$ 0,00","R$ 27,41","R$ 2.300,94","R$ 0,00","R$ 2.300,94",3,"26,09649438","12,35846499","3,463","0,007862","0,0006361631486","0,002203032984","0,00786170419","0,2802127936","R$ 644,75","0,841",,3,Médio,1
21,77617296,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,021","0,001","0,001","3,852","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","19,73185058","0,001","1,08E-05","5,47338424E-07","5,47338424E-10","1,079898711E-05","5,067948371E-05","R$ 0,00",0,,5,Máximo,1
22,776188423,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,05","0,001","0,001","1,619","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"26,09649438","11,99757524","0,182","0,00032","2,667205611E-05","4,854314212E-06","0,0003200113292","0,01516973191","R$ 0,00","0,076",,5,Máximo,1
23,77618841,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,224","0,002","0,032","14,187","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 795,74","R$ 0,00","R$ 795,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9,59","R$ 0,00","R$ 9,59","R$ 805,33","R$ 0,00","R$ 805,33",3,"26,09649438","7,111517693","0,06","0,001519","0,0002135971625","1,281582975E-05","0,001519316617","0,008437017609","R$ 6,79","0,025",,"3,001",Médio,1
24,7761876,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.591,47","R$ 0,00","R$ 1.591,47","R$ 0,00","R$ 0,00","R$ 0,00","R$ 19,18","R$ 0,00","R$ 19,18","R$ 1.610,66","R$ 0,00","R$ 1.610,66",3,"43,25395984","17,03928558","15,079","0,015232","0,0008939341928","0,01347963369","0,01523174471","0,884954943","R$ 1.425,36","2,655",,3,Médio,1
25,77618747,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"43,25395984","15,41486453","0,224",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
26,7761885,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,415","0,014","0,104","25,186","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.387,21","R$ 0,00","R$ 2.387,21","R$ 0,00","R$ 0,00","R$ 0,00","R$ 28,78","R$ 0,00","R$ 28,78","R$ 2.415,99","R$ 0,00","R$ 2.415,99",3,"43,25395984","14,70934397","0,066","0,015138","0,00102914175","6,792335552E-05","0,01513970429","0,004486943818","R$ 10,84","0,013",,3,Médio,1
27,7761892,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,083","0,005","0,005","6,633","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 113,68","R$ 0,00","R$ 113,68","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1,37","R$ 0,00","R$ 1,37","R$ 115,05","R$ 0,00","R$ 115,05",3,"43,25395984","19,94445926","19,701","0,005317","0,0002665903312","0,005252096115","0,005317144156","0,9877931381","R$ 113,64","2,963",,3,Médio,1
28,7761896,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,078","0,015","0,015","19,754","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.477,80","R$ 0,00","R$ 1.477,80","R$ 0,00","R$ 0,00","R$ 0,00","R$ 17,81","R$ 0,00","R$ 17,81","R$ 1.495,61","R$ 0,00","R$ 1.495,61",3,"43,25395984","18,78872981","0,007","0,016443","0,0008751522943","6,12606606E-06","0,01644323646","0,0003725637694","R$ 0,56","0,001",,3,Médio,1
29,77618741,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 227,35","R$ 0,00","R$ 227,35","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2,74","R$ 0,00","R$ 2,74","R$ 230,09","R$ 0,00","R$ 230,09",3,"43,25395984","8,876456731","0,018","0,00833","0,0009384375154","1,689187528E-05","0,008330509824","0,002027836168","R$ 0,47","0,006",,3,Médio,1
30,77618951,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,635",0,"0,097","15,213","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 909,41","R$ 0,00","R$ 909,41","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10,96","R$ 0,00","R$ 10,96","R$ 920,38","R$ 0,00","R$ 920,38",3,"43,25395984","4,10414405","0,134",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
31,7761875,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,06","0,003","0,354","17,171","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.136,77","R$ 0,00","R$ 1.136,77","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13,70","R$ 0,00","R$ 13,70","R$ 1.150,47","R$ 0,00","R$ 1.150,47",3,"43,25395984","7,532201575","0,04","0,003438","0,000456440254","1,825761016E-05","0,003437907993","0,005310532333","R$ 6,11","0,016",,3,Médio,1
32,7761891,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,063","0,039","0,157","14,801","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 795,74","R$ 0,00","R$ 795,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9,59","R$ 0,00","R$ 9,59","R$ 805,33","R$ 0,00","R$ 805,33",3,"43,25395984","14,185514","5,054","0,002922","0,0002059847814","0,001041047085","0,002921894124","0,3562789477","R$ 286,92","1,069",,3,Médio,1
33,77618952,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029",0,0,"0,856","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"43,25395984","6,972290287","0,106",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
34,7761893,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,922",0,"0,113","12,216","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 568,38","R$ 0,00","R$ 568,38","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6,85","R$ 0,00","R$ 6,85","R$ 575,23","R$ 0,00","R$ 575,23",3,"43,25395984","4,960294806","2,753","0,000123","2,479691325E-05","6,826590218E-05","0,0001230174866","0,5550073348","R$ 319,26","1,665",,3,Médio,1
35,77618746,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,03",0,0,"1,037","R$ 0,00","R$ 113.676,68","R$ 0,00","R$ 1.370,30","R$ 115.046,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"43,25395984","7,190958538","0,072",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
